prediction,label,bleu
This is James James Ri.,So this is James Risen.,0.0
"You may know, because he's as New York City to the Past-E-E-E-S.",You may know him as the Pulitzer Prize-winning reporter for The New York Times.,0.0
"And before anybody ever ever heard of Edge, Riii, wrote a book, who was going to be able to be able to be able to have the NAA.","Long before anybody knew Edward Snowden's name, Risen wrote a book in which he famously exposed that the NSA was illegally wiretapping the phone calls of Americans.",0.0
But it's another chapter that should be a little bit more powerful.,But it's another chapter in that book that may have an even more lasting impact.,0.17658800420844406
"And he's a black-year-old, in the C-old community, which literally literally, for a Japanese man's dilemma.","In it, he describes a catastrophic US intelligence operation in which the CIA quite literally handed over blueprints of a nuclear bomb to Iran.",0.0
"If that's crazy, you read it.","If that sounds crazy, go read it.",0.0
It's a incredible story.,It's an incredible story.,0.0
"But you know, the chapter doesn't get the chapter?",But you know who didn't like that chapter?,0.0
The U.S.,The US government.,0.0
"Almost 10 years long, the government has the government against Ri and put it up, his head of the call.","For nearly a decade afterwards, Risen was the subject of a US government investigation in which prosecutors demanded that he testify against one of his alleged sources.",0.0
"In this train, he was asked to the pattern of the government, the government of the government, the government of the government, the government of the government, the government of the government, and the drugs.","And along the way, he became the face for the US government's recent pattern of prosecuting whistleblowers and spying on journalists.",0.0
"The first thing that the media is to have the media, the media, the right thing to get information.","You see, under the First Amendment, the press has the right to publish secret information in the public interest.",0.0
"But it's impossible to be able to get this right now, if media doesn't get the information and if they can't get the identity that they can't afford.",But it's impossible to exercise that right if the media can't also gather that news and protect the identities of the brave men and women who get it to them.,0.10461016391548944
"So when the government came to Ri, he did something that many prags already before him, he said that he would go to prison and said he would be going to go to prison.","So when the government came knocking, Risen did what many brave reporters have done before him: he refused and said he'd rather go to jail.",0.1434926055798095
"So from 200 to 2005 to the risk of the risk, to go to the risk, to prison.","So from 200 ⁇  to 2015, Risen lived under the specter of going to federal prison.",0.0
"But then, for days before the process, something else happened.","That is, until just days before the trial, when a curious thing happened.",0.0
"Suddenly, although they're going to have a lot of time that it would be used for their case that the government were used to the government of the government.","Suddenly, after years of claiming it was vital to their case, the government dropped their demands to Risen altogether.",0.0
The reason that the long-term tools can be able to get the only one and get less likely to be less.,"It turns out, in the age of electronic surveillance, there are very few places reporters and sources can hide.",0.0
"Instead of getting the way to get out of the light, could also get his digital foot for him.","And instead of trying and failing to have Risen testify, they could have his digital trail testify against him instead.",0.0
"And so, the guy who have been able to be able to be able to be a good day, his telephone phone.","So completely in secret and without his consent, prosecutors got Risen's phone records.",0.0
"It's as just as his ED, financial, financial bank, and his bank, and even the list of his name is the list of his name.","They got his email records, his financial and banking information, his credit reports, even travel records with a list of flights he had taken.",0.0
"In the course of these information, they found evidence to try to see Jeff-touch, a C-to-to-to-to-bogo, and Ri, to get the ability to move.","And it was among this information that they used to convict Jeffrey Sterling, Risen's alleged source and CIA whistleblower.",0.0
"Unfortunately, this is just one of many cases.","Sadly, this is only one case of many.",0.0
"President Obama at his desk, Maro, and he's got more likely to protect the outside more than all the U.S., he's got a lot more than all the U.S.","President Obama ran on a promise to protect whistleblowers, and instead, his Justice Department has prosecuted more than all other administrations combined.",0.0
"Now, you can imagine how the government can be, especially because the government is too much from their work as a lot of their work.","Now, you can see how this could be a problem, especially because the government considers so much of what it does secret.",0.23793665482062612
"Since September 11th, almost every article about national security, that the result of the world was that a Maro was to a mouse.","Since 9 ⁇ 11, virtually every important story about national security has been the result of a whistleblower coming to a journalist.",0.0
"So we're going to put the press, the press, the press, the press will be able to be able to get out of the first time, because the government has always been able to get more opportunities, all of the time.",So we risk seeing the press unable to do their job that the First Amendment is supposed to protect because of the government's expanded ability to spy on everyone.,0.0
But as technology allows the government allows the government to get the rights of the government can also use the press to protect their sources better.,"But just as technology has allowed the government to circumvent reporters' rights, the press can also use technology to protect their sources even better than before.",0.19084758996741738
"And it can be able to take the moment where they can teach them, instead of the contact, rather than in the park, in the park.","And they can start from the moment they begin speaking with them, rather than on the witness stand after the fact.",0.0
